3  72  16   2 -100 2022    1
1  80  18   1 -100 2022    2
3  57  12   2    1 2022    3
1  23  16   2 -100 2022    4
3  62  14   1    1 2022    5
3  27  12   1 -100 2022    6
3  20  12   2    1 2022    7
3  47  16   1    1 2022    8
1  31  12   2    1 2022    9
2  72  12   2 -100 2022   10
2  57  13   2 -100 2022   11
3  25  16   2    1 2022   12
2  35  12   2 -100 2022   13
3  36  12   2 -100 2022   14
1  41  13   2    1 2022   15
1  65  14   1    2 2022   16
2  20  13   2 -100 2022   17
2  80  16   2 -100 2022   18
3  35  11   2    1 2022   19
2  89  12   2 -100 2022   20
1  34  10   2    2 2022   21
1  55  12   2    2 2022   22
1  65  16   1    1 2022   23
1  60  14   2    1 2022   24
1  28  13   1    1 2022   25
1  82  12   2    2 2022   26
3  59  12   1 -100 2022   27
1  86  12   2 -100 2022   28
3  36  16   1    1 2022   29
2  79  12   2 -100 2022   30
3  65  14   1 -100 2022   31
3 -99  12 -98 -100 2022   32
2  76  12   2 -100 2022   33
3  72  16   2    1 2022   34
1  62  13   2 -100 2022   35
1  46  14   1    1 2022   36
2  84  15   1 -100 2022   37
2  79  12   1 -100 2022   38
1  38  16   2 -100 2022   39
3  64  13   1    1 2022   40
2  49  16   2 -100 2022   41
3  65  15   2    1 2022   42
2  29  16   2 -100 2022   43
1  30  18   1    1 2022   44
3  30  14   2 -100 2022   45
3  50  17   2 -100 2022   46
1  32  12   2 -100 2022   47
2  52  16   1 -100 2022   48
1  89  19   1 -100 2022   49
3  70  14   2 -100 2022   50
3  59  16   2    1 2022   51
1  46  16   1    1 2022   52
3  43  16   2 -100 2022   53
2  60  12   1 -100 2022   54
3  38  12   1    1 2022   55
1  66  14   1 -100 2022   56
2  28  14   2 -100 2022   57
1  20  13   2    1 2022   58
3  62  14   2    2 2022   59
1  36  12   2 -100 2022   60
3  49  10   2    1 2022   61
3  30  12   2 -100 2022   62
2  62   9   2 -100 2022   63
3  70   4   2 -100 2022   64
3  73   8   2 -100 2022   65
2  34  12   2 -100 2022   66
3  47  16   2 -100 2022   67
1  47  15   2 -100 2022   68
1  58  17   2    1 2022   69
2  82  12   2 -100 2022   70
1  67  12   1    1 2022   71
1  41  14   1    2 2022   72
2  32  16   2 -100 2022   73
1  65   9   2 -100 2022   74
1  57  18   2    2 2022   75
2  55  12   1 -100 2022   76
3  86   9   2    1 2022   77
1  31  20   2    1 2022   78
2  62  12   2 -100 2022   79
2  23  17   2 -100 2022   80
2 -99  16   2 -100 2022   81
3  22  14   2 -100 2022   82
2  44  15   1 -100 2022   83
2  24  15   2 -100 2022   84
1  37  18   1 -100 2022   85
1  79  20   1    1 2022   86
2  22  15   1 -100 2022   87
1  34  16   1    1 2022   88
2  26  16   1 -100 2022   89
2  29  17   1 -100 2022   90
1  36  16   2 -100 2022   91
1  29  15   2 -100 2022   92
2  47  12   1 -100 2022   93
2  58  16   2 -100 2022   94
2  46  16   1 -100 2022   95
